,date,tic,open,high,low,close,volume,avgvol_50,sma_10,sma_50,sma_100,sma_200,wma_50,rsi_14,volatility_30,volatility_100,stddev_30,dmi_14,adx_14,macd,atr_14
8771,1988-08-31,PFE.US,48.0756,48.5496,47.9568,0.7286,6852000.0,9263567.7314,0.7315,0.7331,0.7492,0.7442,0.7316,47.7943,0.0001,0.0011,0.0096723147827717,5.1064,8.4993,-0.0016,0.7721
8775,1988-09-01,ABT.US,46.4994,46.4994,45.6244,1.1775,5326788.0,7462279.82,1.1743,1.1572,1.1565,1.181,1.1627,53.6511,0.0005,0.001,0.0233591583957414,5.14,11.6278,0.0077,0.8081
8783,1988-09-01,MRK.US,54.3749,54.7502,53.875,2.821,5281291.0,4387414.22,2.8625,2.8525,2.7857,2.7571,2.8568,45.6209,0.0033,0.0125,0.0571750556861637,24.2835,22.9836,0.0022,1.1434
8784,1988-09-01,PFE.US,47.3652,48.0756,47.3652,0.7178,10797600.0,9244367.732,0.7297,0.7325,0.7482,0.7442,0.731,41.2255,0.0001,0.001,0.0099566134767338,8.1068,8.4713,-0.0024,0.7677
8788,1988-09-02,ABT.US,46.7507,47.3743,46.4994,1.2063,10493185.0,7560368.28,1.1781,1.1584,1.1557,1.1812,1.1646,61.2365,0.0006,0.0008,0.0242982234505158,19.2391,12.1714,0.0097,0.8485
8796,1988-09-02,MRK.US,54.7502,56.1248,54.6251,2.886,5589403.0,4440661.0,2.8615,2.853,2.7859,2.7571,2.8582,53.0861,0.0031,0.0126,0.0568756845792466,2.831,21.5441,0.0041,1.1956
8797,1988-09-02,PFE.US,48.6672,48.786,47.7204,0.7375,6758400.0,9253679.7316,0.7289,0.7323,0.7469,0.7441,0.7312,53.7203,0.0001,0.0009,0.0099149137711051,7.0104,8.3669,-0.0015,0.8144
8801,1988-09-06,ABT.US,47.3743,47.8752,46.8754,1.2223,8518584.0,7547037.94,1.1852,1.1603,1.1557,1.1816,1.1671,64.6936,0.0006,0.0008,0.0252842125601467,26.0188,13.1605,0.0124,0.8593
8809,1988-09-06,MRK.US,55.75,56.3751,55.6249,2.9315,3834422.0,4451275.14,2.8701,2.8545,2.7879,2.7573,2.8612,57.4858,0.0031,0.0128,0.0561792033836363,0.5357,20.0435,0.0093,1.1728
8810,1988-09-06,PFE.US,49.3776,49.3776,48.6672,0.7483,7252800.0,9223967.7324,0.7306,0.7325,0.7462,0.7443,0.7318,58.8812,0.0001,0.0008,0.010289792685315,17.3727,9.0102,0.0001,0.8069
